epoch,std_numpart,kurtosis_numpart,Wasserstein_distance_from_real
Real_Data,0.3404000594818432,-0.7418771438819483,0.0
30,0.03710424154996872,1.7332259028397106,0.8042036739920405
60,0.21422958374023438,-0.40997157466808387,0.2861496109579076
90,0.20796270668506622,-1.0232167513565043,0.3814180458706943
120,0.23647145926952362,5.866056217082642,0.33207935749465367
150,0.09412577003240585,0.22053570820493684,0.7794573807899978
180,0.022890310734510422,0.22719543882617632,1.80377153705779
210,0.035865671932697296,0.23393575874838834,0.68026479617596
240,0.06990579515695572,0.16816109026848158,0.5304420948128475
270,0.04341934621334076,0.7611690552069641,0.7826717957199689
300,0.03181074559688568,-0.12396791475188529,1.2374157184080359
330,0.28836774826049805,0.20272674028020088,0.10456442096444271
360,0.30320414900779724,-0.8257086584803188,0.03612150992806686
390,0.35197392106056213,-1.3083309683162372,0.09861477140440839
420,0.3257354497909546,-1.3398963783055673,0.04645252852316134
450,0.32923609018325806,-1.211444379990635,0.0426910585478628
480,0.32146039605140686,-1.2679233431324033,0.09499261733556229
510,0.35595783591270447,-1.2205715446029395,0.05303134030838344
540,0.32419583201408386,-0.9327674619732065,0.05640893553572201
570,0.2800257205963135,-0.953133800190439,0.08984047838678522
600,0.3499701917171478,-0.963764539138229,0.08281648000272743
630,0.328518271446228,-1.148876150477083,0.034472198861347766
660,0.3021262586116791,-1.1458232445310204,0.16289727475930274
690,0.299839586019516,-1.1531119427968992,0.12221859721322972
720,0.26914024353027344,-1.1935609634412,0.14946093892368106
750,0.32175102829933167,-1.1440868155462722,0.030394098309279995
780,0.30852869153022766,-1.1759420090389228,0.0932358876319465
810,0.28428423404693604,-1.0779110401232341,0.13148713704381032
840,0.3018076717853546,-1.0749211314690126,0.11654452095036627
870,0.34041574597358704,-1.1589779354955212,0.026650186242811482
900,0.3428707420825958,-0.9631175398561571,0.02698068076294033
930,0.34555962681770325,-0.9406999800610429,0.09355353331000717
960,0.321275919675827,-1.0675295075047013,0.016585788658561553
990,0.31118786334991455,-1.0409007274969508,0.11756916353763523
1020,0.3116660714149475,-1.105276401824938,0.08832921646952402
1050,0.27796831727027893,-1.0401295752552644,0.10195818997056524
1080,0.333847314119339,-1.1476386358963895,0.032761372858655415
1110,0.30817532539367676,-1.2332750561779189,0.05395498116557579
1140,0.31725457310676575,-1.1643548461382214,0.06079158855784746
1170,0.36386141180992126,-1.1323427338758603,0.058796994341277886
1200,0.33425045013427734,-0.9931400411263294,0.07680863179705562
1230,0.30095669627189636,-1.0846667270768997,0.11143735392877518
1260,0.324922114610672,-1.0605760682239376,0.11062114544645116
1290,0.36235520243644714,-0.8997176966030169,0.12133605631026867
1320,0.34323227405548096,-1.0585042384038859,0.06488200512846738
1350,0.3290305733680725,-1.1022959085379187,0.15450866259927126
1380,0.3352260887622833,-0.7799891468364164,0.0790033275538263
1410,0.3231540024280548,-0.9692387197083847,0.13851799027036402
1440,0.3396660089492798,-0.7828471721110479,0.1027912236001107
1470,0.3022710978984833,-0.5967194079500593,0.12921928113618592
1500,0.35346683859825134,-0.7073078676307896,0.10116393842111998
1530,0.2889976501464844,-0.7385146748748674,0.1492899406279576
1560,0.30889829993247986,-0.7807595528288624,0.11448322262588413
1590,0.3251551687717438,-0.578806006866528,0.06995513752608644
1620,0.31162333488464355,-1.1740737918857973,0.09046793488365895
1650,0.3750879168510437,-1.2548744209552427,0.056791405643488724
1680,0.3440282344818115,-1.20066257888584,0.13911209513070266
1710,0.3304845094680786,-1.0439796482966415,0.13316394350979222
1740,0.29559674859046936,-1.235350924322445,0.08527766679600711
1770,0.3052598237991333,-1.1625565495177443,0.1267604974284681
1800,0.38258177042007446,-1.3193179169571443,0.06841695914909005
1830,0.28716087341308594,-1.0892403872784404,0.1285904440084652
1860,0.32796022295951843,-1.1479352021913038,0.1067116879189839
1890,0.2924516797065735,-1.0706909317798492,0.06897567436917683
1920,0.302596777677536,-1.1129407083712097,0.16157529459647868
1950,0.2704404592514038,-0.6661842331541159,0.0907203655739161
1980,0.30679601430892944,-1.0404820497504332,0.062137892602359975
2010,0.3083416223526001,-1.039145888411098,0.10209776356309944
2040,0.30013903975486755,-1.180807923432409,0.11801734955513185
2070,0.3649023771286011,-1.223321981718726,0.08390840621804471
2100,0.3006714880466461,-1.0809734879901938,0.06532731069331765
2130,0.27736493945121765,-0.7957883304701001,0.13316026752971144
2160,0.2751511037349701,-0.9464976905309279,0.08122309174349679
2190,0.2579330801963806,-0.620370778121178,0.1219385531553076
2220,0.28404170274734497,-1.109596088097965,0.10648211106143785
2250,0.324346661567688,-1.1154970336919587,0.09529789434738019
2280,0.013096911832690239,19.407136848165912,0.3594407568467525
2310,0.23814260959625244,-1.3399212870224797,0.1742984643862039
2340,0.23881083726882935,-0.3947524400377036,0.12005693366533383
2370,0.2768222689628601,-1.1353644899468476,0.10911916942219699
2400,0.23030875623226166,-1.1215836665642387,0.15707820328712327
2430,0.32295453548431396,-1.4282506356404445,0.0644529783846025
2460,0.29213806986808777,-1.3523428014667245,0.07582991700103055
2490,0.29278847575187683,-1.0682014874375696,0.06202099221662261
2520,0.3329011797904968,-1.0259572967734547,0.07246004756666914
2550,0.31308063864707947,-1.150195596138704,0.13288392997167672
