epoch,batch_iteration,d_loss,d_cost_wass,gradient_penality,g_loss,g_cost_wass
0,24,-10.385128021240234,-17.776912689208984,0.739178478717804,17.404537200927734,17.404537200927734
0,49,-7.299750328063965,-18.206695556640625,1.090694546699524,13.56881046295166,13.56881046295166
1,24,8.545491218566895,-11.828656196594238,2.037414789199829,1.4365217685699463,1.4365217685699463
1,49,-3.077486038208008,-10.617782592773438,0.7540296316146851,-1.9093812704086304,-1.9093812704086304
2,24,6.924195289611816,0.3261270523071289,0.6598068475723267,-13.064233779907227,-13.064233779907227
2,49,5.350697040557861,-0.8367919921875,0.6187489032745361,-5.573375225067139,-5.573375225067139
3,24,13.248340606689453,-0.22004365921020508,1.3468384742736816,-5.8772406578063965,-5.8772406578063965
3,49,7.234447956085205,0.06209993362426758,0.7172347903251648,-3.0763516426086426,-3.0763516426086426
4,24,5.631537437438965,-0.6830539703369141,0.63145911693573,-4.547906875610352,-4.547906875610352
4,49,5.487405776977539,-0.732833981513977,0.6220239400863647,-1.1271768808364868,-1.1271768808364868
5,24,2.9765686988830566,-1.837717056274414,0.4814285635948181,-2.9749274253845215,-2.9749274253845215
5,49,0.610804557800293,-3.6943864822387695,0.43051910400390625,-0.504690945148468,-0.504690945148468
6,24,1.373791217803955,-2.946770191192627,0.43205612897872925,-3.7846527099609375,-3.7846527099609375
6,49,1.2281670570373535,-2.4073352813720703,0.36355024576187134,-5.844748497009277,-5.844748497009277
7,24,0.9176375865936279,-1.4394888877868652,0.23571264743804932,-2.2394051551818848,-2.2394051551818848
7,49,0.3851243257522583,-0.7428467273712158,0.11279710382223129,-1.7192718982696533,-1.7192718982696533
8,24,0.3284860849380493,-0.456076979637146,0.07845630496740341,2.425492286682129,2.425492286682129
8,49,0.3038691282272339,-0.164886474609375,0.04687555879354477,3.1488640308380127,3.1488640308380127
9,24,0.6384073495864868,-0.5261305570602417,0.11645379662513733,0.11224263161420822,0.11224263161420822
9,49,0.35982704162597656,0.10907506942749023,0.025075197219848633,-5.3074541091918945,-5.3074541091918945
10,24,0.0498616099357605,-0.15128564834594727,0.020114725455641747,-5.108675956726074,-5.108675956726074
10,49,-0.17275017499923706,-0.36623644828796387,0.01934862695634365,-3.6965441703796387,-3.6965441703796387
11,24,-0.011847123503684998,-0.13962674140930176,0.012777961790561676,-2.858778476715088,-2.858778476715088
11,49,0.03743468225002289,-0.07772541046142578,0.011516009457409382,-2.4201154708862305,-2.4201154708862305
12,24,-0.257470965385437,-0.5058746337890625,0.02484036609530449,-3.0810294151306152,-3.0810294151306152
12,49,-0.25588807463645935,-0.4471621513366699,0.019127408042550087,-2.0356106758117676,-2.0356106758117676
13,24,0.06830692291259766,-0.7325184345245361,0.08008253574371338,-3.599249839782715,-3.599249839782715
13,49,-1.475614070892334,-1.6825571060180664,0.020694300532341003,-3.9770472049713135,-3.9770472049713135
14,24,-0.5633175373077393,-0.8925185203552246,0.032920099794864655,-4.697864532470703,-4.697864532470703
14,49,-0.5982272028923035,-0.8417937755584717,0.02435665763914585,-3.468353271484375,-3.468353271484375
